,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
2057961,lcb_codegen_v6,Claude-3-Haiku,codeforces.1873_A,0.2,10.0,1692576000000.0,,2
2057962,lcb_codegen_v6,Claude-3-Haiku,codeforces.1873_B,0.0,10.0,1692576000000.0,,0
2057963,lcb_codegen_v6,Claude-3-Haiku,codeforces.1873_D,0.3,10.0,1692576000000.0,,3
2057964,lcb_codegen_v6,Claude-3-Haiku,codeforces.1883_B,0.1,10.0,1695340800000.0,,1
2057965,lcb_codegen_v6,Claude-3-Haiku,codeforces.1883_C,0.0,10.0,1695340800000.0,,0
2057966,lcb_codegen_v6,Claude-3-Haiku,codeforces.1899_A,0.0,10.0,1697500800000.0,,0
2057967,lcb_codegen_v6,Claude-3-Haiku,codeforces.1899_B,1.0,10.0,1697500800000.0,,10
2057968,lcb_codegen_v6,Claude-3-Haiku,codeforces.1899_C,0.0,10.0,1697500800000.0,,0
2057969,lcb_codegen_v6,Claude-3-Haiku,codeforces.1899_D,0.0,10.0,1697500800000.0,,0
2057970,lcb_codegen_v6,Claude-3-Haiku,leetcode.2727,1.0,10.0,1683936000000.0,,10
2057971,lcb_codegen_v6,Claude-3-Haiku,leetcode.2728,1.0,10.0,1683936000000.0,,10
2057972,lcb_codegen_v6,Claude-3-Haiku,leetcode.2730,0.0,10.0,1683936000000.0,,0
2057973,lcb_codegen_v6,Claude-3-Haiku,leetcode.2754,0.0,10.0,1685145600000.0,,0
2057974,lcb_codegen_v6,Claude-3-Haiku,leetcode.2755,1.0,10.0,1685145600000.0,,10
2057975,lcb_codegen_v6,Claude-3-Haiku,leetcode.2756,0.1,10.0,1685145600000.0,,1
2057976,lcb_codegen_v6,Claude-3-Haiku,leetcode.2757,0.0,10.0,1685836800000.0,,0
2057977,lcb_codegen_v6,Claude-3-Haiku,leetcode.2777,0.8,10.0,1683417600000.0,,8
2057978,lcb_codegen_v6,Claude-3-Haiku,leetcode.2779,0.0,10.0,1683417600000.0,,0
2057979,lcb_codegen_v6,Claude-3-Haiku,leetcode.2784,0.0,10.0,1683936000000.0,,0
2057980,lcb_codegen_v6,Claude-3-Haiku,leetcode.2785,0.0,10.0,1685836800000.0,,0
2057981,lcb_codegen_v6,Claude-3-Haiku,leetcode.2786,0.0,10.0,1686355200000.0,,0
2057982,lcb_codegen_v6,Claude-3-Haiku,leetcode.2791,0.0,10.0,1684022400000.0,,0
2057983,lcb_codegen_v6,Claude-3-Haiku,leetcode.2792,0.4,10.0,1684022400000.0,,4
2057984,lcb_codegen_v6,Claude-3-Haiku,leetcode.2800,0.0,10.0,1684627200000.0,,0
2057985,lcb_codegen_v6,Claude-3-Haiku,leetcode.2802,0.0,10.0,1684627200000.0,,0
2057986,lcb_codegen_v6,Claude-3-Haiku,leetcode.2808,0.0,10.0,1687046400000.0,,0
2057987,lcb_codegen_v6,Claude-3-Haiku,leetcode.2810,0.0,10.0,1686441600000.0,,0
2057988,lcb_codegen_v6,Claude-3-Haiku,leetcode.2811,0.0,10.0,1692489600000.0,,0
2057989,lcb_codegen_v6,Claude-3-Haiku,leetcode.2812,0.0,10.0,1688860800000.0,,0
2057990,lcb_codegen_v6,Claude-3-Haiku,leetcode.2816,1.0,10.0,1684627200000.0,,10
