,benchmark_id,model,example_id,pass1,count,date,hyperparams
2131064,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/0,1.0,1.0,,T0.2
2131065,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/1,1.0,1.0,,T0.2
2131066,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/2,1.0,1.0,,T0.2
2131067,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/3,1.0,1.0,,T0.2
2131068,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/4,0.0,1.0,,T0.2
2131069,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/5,0.0,1.0,,T0.2
2131070,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/6,1.0,1.0,,T0.2
2131071,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/7,1.0,1.0,,T0.2
2131072,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/8,1.0,1.0,,T0.2
2131073,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/9,1.0,1.0,,T0.2
2131074,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/10,1.0,1.0,,T0.2
2131075,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/11,1.0,1.0,,T0.2
2131076,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/12,1.0,1.0,,T0.2
2131077,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/13,1.0,1.0,,T0.2
2131078,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/14,1.0,1.0,,T0.2
2131079,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/15,1.0,1.0,,T0.2
2131080,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/16,1.0,1.0,,T0.2
2131081,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/17,1.0,1.0,,T0.2
2131082,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/18,1.0,1.0,,T0.2
2131083,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/19,1.0,1.0,,T0.2
2131084,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/20,1.0,1.0,,T0.2
2131085,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/21,1.0,1.0,,T0.2
2131086,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/22,0.0,1.0,,T0.2
2131087,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/23,1.0,1.0,,T0.2
2131088,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/24,1.0,1.0,,T0.2
2131089,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/25,1.0,1.0,,T0.2
